title,acronym,ordinal,city,country,startDate,endDate,year,wikiCfpid,dblpid,seriesTitle,url,describedAtUrl
"The What, How and Why of Open Science",,,,,2019-10-14,2019-10-17,2019.0,,,Beilstein Open Science Symposia,http://www.wikidata.org/entity/Q70971538,
Thirty-Fourth AAAI Conference on Artificial Intelligence,AAAI-20,34.0,,United States of America,2020-02-07,2020-02-12,2020.0,90881.0,,AAAI Conference on Artificial Intelligence,http://www.wikidata.org/entity/Q65769858,
The 35th Conference on Uncertainty in Artificial Intelligence,UAI 2019,,,Israel,2019-07-22,2019-07-25,2019.0,,,Conference on Uncertainty in Artificial Intelligence,http://www.wikidata.org/entity/Q75720807,
The 7th conference of the Scandinavian Association for Language and Cognition,SALC7,,Aarhus,Denmark,2019-05-22,2019-05-24,2019.0,,,,http://www.wikidata.org/entity/Q58485225,
13th Conference on Intelligent Computer Mathematics,,,,Italy,2020-07-26,2020-07-31,2020.0,,,,http://www.wikidata.org/entity/Q78330405,
14th International Symposium on Open Collaboration,OpenSym 2018,14.0,Paris,France,2018-08-22,2018-08-24,2018.0,,,International Symposium on Open Collaboration,http://www.wikidata.org/entity/Q47449692,
Recent Advances in Natural Language Processing 2021,RANLP 2021,,,Bulgaria,2021-09-06,2021-09-08,2021.0,,,,http://www.wikidata.org/entity/Q87055432,
The 2020 Conference on Empirical Methods in Natural Language Processing,EMNLP 2020,,,,2020-11-16,2020-11-20,2020.0,,,Empirical Methods in Natural Language Processing,http://www.wikidata.org/entity/Q82290350,https://dblp.org/db/conf/emnlp/emnlp2020-1.html
The 2020 Conference on Empirical Methods in Natural Language Processing,EMNLP 2020,25.0,,,2020-11-16,2020-11-20,2020.0,,,Empirical Methods in Natural Language Processing,http://www.wikidata.org/entity/Q82290350,https://dblp.org/db/conf/emnlp/emnlp2020-1.html
Thirty-fifth International Conference on Machine Learning,ICML 2018,35.0,,Sweden,2018-07-10,2018-07-15,2018.0,67105.0,,International Conference on Machine Learning,http://www.wikidata.org/entity/Q51713382,
The 33rd Canadian Conference on Artificial Intelligence,Canadian AI 2020,,,Canada,2020-05-12,2020-05-15,2020.0,,,,http://www.wikidata.org/entity/Q81341444,
