seriesAcronym,acronym,city,country,startDate,endDate,year,url
BTW,BTW 2021,Dresden,Germany,2021-01-01,2021-01-01,2021,http://portal.confref.org/list/btw2021
SCDM,SCDM 2020,Langkawi,Malaysia,2020-01-22,2020-01-23,2020,http://portal.confref.org/list/scdm2020
SWQD,SWQD 2020,Vienna,Austria,2020-01-14,2020-01-17,2020,http://portal.confref.org/list/swqd2020
I4CS,I4CS 2020,Bhubaneswar,India,2020-01-12,2020-01-14,2020,http://portal.confref.org/list/i4cs2020
ICDCIT,ICDCIT 2020,Bhubaneswar,India,2020-01-09,2020-01-12,2020,http://portal.confref.org/list/icdcit0
MMM,MMM 2020,Daejeon,Korea (Republic of),2020-01-05,2020-01-08,2020,http://portal.confref.org/list/mmm2020
LFCS,LFCS 2020,"Deerfield Beach, FL",USA,2020-01-04,2020-01-07,2020,http://portal.confref.org/list/lfcs2020
WEA,WEA 2020,Catania,Italy,2020-01-01,2020-01-01,2020,http://portal.confref.org/list/wea2020
VISIGRAPP,VISIGRAPP 2020,Valletta,Malta,2020-01-01,2020-01-01,2020,http://portal.confref.org/list/visigrapp2020
VISAPP,VISAPP 2020,Valletta,Malta,2020-01-01,2020-01-01,2020,http://portal.confref.org/list/visapp2020
SODA,SODA 2020,Salt Lake City,United States of America,2020-01-01,2020-01-01,2020,http://portal.confref.org/list/soda2020
PROGRAMMING,PROGRAMMING 2020,Porto,Portugal,2020-01-01,2020-01-01,2020,http://portal.confref.org/list/programming2020
LREC,LREC 2020,Marseille,France,2020-01-01,2020-01-01,2020,http://portal.confref.org/list/lrec2020
KR,KR 2020,Rhodes,Greece,2020-01-01,2020-01-01,2020,http://portal.confref.org/list/kr2020
IVAPP,IVAPP 2020,Valletta,Malta,2020-01-01,2020-01-01,2020,http://portal.confref.org/list/ivapp2020
ISAIM,ISAIM 2020,Fort Lauderdale,USA,2020-01-01,2020-01-01,2020,http://portal.confref.org/list/isaim2020
IPRES,IPRES 2020,Beijing,People's Republic of China,2020-01-01,2020-01-01,2020,http://portal.confref.org/list/ipres2020
HPSR,HPSR 2020,Newark,USA,2020-01-01,2020-01-01,2020,http://portal.confref.org/list/hpsr2020
GRAPP,GRAPP 2020,Valletta,Malta,2020-01-01,2020-01-01,2020,http://portal.confref.org/list/grapp2020
ECIR,ECIR 2020,Lisbon,Portugal,2020-01-01,2020-01-01,2020,http://portal.confref.org/list/ecir2020
