acronym,startDate,endDate,year,city,country,seriesTitle,url,label
,2002/7/28,2002/8/1,2002,,,AAAI Conference on Artificial Intelligence,http://www.wikidata.org/entity/Q109517993,wikiData
AAAI 2002,,,2002,,,"Proceedings of the Eighteenth National Conference on Artificial Intelligence and Fourteenth Conference on Innovative Applications of Artificial Intelligence, July 28 - August 1, 2002, Edmonton, Alberta, Canada.",https://dblp.org/db/conf/aaai/aaai2002.html,dblp
AAAI 2004,2004/7/25,2004/7/29,2004,San Jose,United States of America,AAAI Conference on Artificial Intelligence,http://www.wikidata.org/entity/Q109517994,wikiData
AAAI 2004,2004/7/25,2004/7/29,2004,,,"Proceedings of the Nineteenth National Conference on Artificial Intelligence, Sixteenth Conference on Innovative Applications of Artificial Intelligence, July 25-29, 2004, San Jose, California, USA",https://dblp.org/db/conf/aaai/aaai2004.html,dblp
AAAI 2005,2005/7/9,2005/7/13,2005,Pittsburgh,United States of America,AAAI Conference on Artificial Intelligence,http://www.wikidata.org/entity/Q109517995,wikiData
AAAI 2005,2005/7/9,2005/7/13,2005,,,"Proceedings, The Twentieth National Conference on Artificial Intelligence and the Seventeenth Innovative Applications of Artificial Intelligence Conference, July 9-13, 2005, Pittsburgh, Pennsylvania, USA",https://dblp.org/db/conf/aaai/aaai2005.html,dblp
AAAI 2007,2007/7/22,2007/7/26,2007,,,"Proceedings of the Twenty-Second AAAI Conference on Artificial Intelligence, July 22-26, 2007, Vancouver, British Columbia, Canada",https://dblp.org/db/conf/aaai/aaai2007.html,dblp
AAAI 2007,2007/7/22,2007/7/26,2007,Vancouver,Canada,AAAI Conference on Artificial Intelligence,http://www.wikidata.org/entity/Q109517996,wikiData
AAAI 2008,2008/7/13,2008/7/17,2008,Chicago,United States of America,"Proceedings of the Twenty-Third AAAI Conference on Artificial Intelligence, AAAI 2008, Chicago, Illinois, USA, July 13-17, 2008",https://dblp.org/db/conf/aaai/aaai2008.html,dblp
AAAI 2008,2008/7/13,2008/7/17,2008,Chicago,United States of America,National Conference on Artificial Intelligence,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=1842,wikiCfp
AAAI 2010,2010/7/11,2010/7/15,2010,Atlanta,United States of America,AAAI Conference on Artificial Intelligence,http://www.wikidata.org/entity/Q109517997,wikiData
AAAI 2010,2010/7/11,2010/7/15,2010,,,"Proceedings of the Twenty-Fourth AAAI Conference on Artificial Intelligence, AAAI 2010, Atlanta, Georgia, USA, July 11-15, 2010",https://dblp.org/db/conf/aaai/aaai2010.html,dblp
AAAI 2010,2010/7/11,2010/7/15,2010,Atlanta,United States of America,,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=6149,wikiCfp
AAAI 2011,2011/8/7,2011/8/11,2011,San Francisco,United States of America,AAAI Conference on Artificial Intelligence,http://portal.confref.org/list/aaai2011,confRef
AAAI 2011,2011/8/7,2011/8/11,2011,San Francisco,United States of America,AAAI Conference on Artificial Intelligence,http://www.wikidata.org/entity/Q109517999,wikiData
AAAI 2011,2011/8/7,2011/8/11,2011,San Francisco,United States of America,National Conference on Artificial Intelligence,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=11755,wikiCfp
AAAI 2011,2011/8/7,2011/8/11,2011,San Francisco,United States of America,"Proceedings of the Twenty-Fifth AAAI Conference on Artificial Intelligence, AAAI 2011, San Francisco, California, USA, August 7-11, 2011",https://dblp.org/db/conf/aaai/aaai2011.html,dblp
AAAI 2012,2012/7/22,2012/7/26,2012,,,AAAI Conference on Artificial Intelligence,http://www.wikidata.org/entity/Q109518000,wikiData
AAAI 2012,2012/7/22,2012/7/26,2012,Toronto,Canada,National Conference on Artificial Intelligence,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=18353,wikiCfp
AAAI 2012,2012/7/22,2012/7/26,2012,Toronto,Canada,AAAI Conference on Artificial Intelligence,http://portal.confref.org/list/aaai2012,confRef
AAAI 2012,2012/7/22,2012/7/26,2012,,,"Proceedings of the Twenty-Sixth AAAI Conference on Artificial Intelligence, July 22-26, 2012, Toronto, Ontario, Canada.",https://dblp.org/db/conf/aaai/aaai2012.html,dblp
AAAI 2013,2013/7/14,2013/7/18,2013,Bellevue,United States of America,AAAI Conference on Artificial Intelligence,http://portal.confref.org/list/aaai2013,confRef
