acronym,startDate,endDate,year,city,country,seriesTitle,url,label
ACII 2005,2005/10/22,2005/10/24,2005,Beijing,People's Republic of China,Affective Computing and Intelligent Interaction,http://portal.confref.org/list/acii2005,confRef
ACII 2005,2005/10/22,2005/10/24,2005,,,"Affective Computing and Intelligent Interaction, First International Conference, ACII 2005, Beijing, China, October 22-24, 2005, Proceedings",https://dblp.org/db/conf/acii/acii2005.html,dblp
ACII 2005,2005/10/22,2005/10/24,2005,Beijing,People's Republic of China,Affective Computing and Intelligent Interaction,http://www.wikidata.org/entity/Q106079196,wikiData
ACII 2007,2007/9/12,2007/9/14,2007,Lisbon,Portugal,Affective Computing and Intelligent Interaction,http://portal.confref.org/list/acii2007,confRef
ACII 2007,2007/9/12,2007/9/14,2007,,,"Affective Computing and Intelligent Interaction, Second International Conference, ACII 2007, Lisbon, Portugal, September 12-14, 2007, Proceedings",https://dblp.org/db/conf/acii/acii2007.html,dblp
ACII 2007,2007/9/12,2007/9/14,2007,,,Affective Computing and Intelligent Interaction,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=1182,wikiCfp
ACII 2009,2009/9/10,2009/9/12,2009,Amsterdam,Kingdom of the Netherlands,Affective Computing and Intelligent Interaction,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=3889,wikiCfp
ACII 2009,2009/9/10,2009/9/12,2009,Amsterdam,Kingdom of the Netherlands,Affective Computing and Intelligent Interaction,http://portal.confref.org/list/acii2009,confRef
ACII 2009,2009/9/10,2009/9/12,2009,,,"Affective Computing and Intelligent Interaction, Third International Conference and Workshops, ACII 2009, Amsterdam, The Netherlands, September 10-12, 2009, Proceedings",https://dblp.org/db/conf/acii/acii2009.html,dblp
ACII 2011,2011/10/9,2011/10/12,2011,Memphis,United States of America,Affective Computing and Intelligent Interaction,http://portal.confref.org/list/acii2011,confRef
ACII 2011,2011/10/9,2011/10/12,2011,,United States of America,Affective Computing and Intelligent Interaction,http://www.wikidata.org/entity/Q106067012,wikiData
ACII 2011,2011/10/9,2011/10/12,2011,Memphis,United States of America,Affective Computing and Intelligent Interaction,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=13393,wikiCfp
ACII (1) 2011,2011/10/9,2011/10/12,2011,,,"Affective Computing and Intelligent Interaction - 4th International Conference, ACII 2011, Memphis, TN, USA, October 9-12, 2011, Proceedings, Part I",https://dblp.org/db/conf/acii/acii2011-1.html,dblp
ACII (2) 2011,2011/10/9,2011/10/12,2011,,,"Affective Computing and Intelligent Interaction - Fourth International Conference, ACII 2011, Memphis, TN, USA, October 9-12, 2011, Proceedings, Part II",https://dblp.org/db/conf/acii/acii2011-2.html,dblp
ACII 2013,2013/9/2,2013/9/5,2013,Geneva,Switzerland,,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=25094,wikiCfp
ACII 2013,2013/9/2,2013/9/5,2013,Geneva,Switzerland,Affective Computing and Intelligent Interaction,http://portal.confref.org/list/acii2013,confRef
ACII 2013,2013/9/2,2013/9/5,2013,Geneva,Switzerland,Affective Computing and Intelligent Interaction,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=26573,wikiCfp
ACII 2013,2013/9/2,2013/9/5,2013,,Switzerland,Affective Computing and Intelligent Interaction,http://www.wikidata.org/entity/Q106330455,wikiData
ACII 2013,2013/9/2,2013/9/5,2013,,,"2013 Humaine Association Conference on Affective Computing and Intelligent Interaction, ACII 2013, Geneva, Switzerland, September 2-5, 2013",https://dblp.org/db/conf/acii/acii2013.html,dblp
ACII 2015,2015/9/21,2015/9/24,2015,Xi'an,People's Republic of China,"2015 International Conference on Affective Computing and Intelligent Interaction, ACII 2015, Xi'an, China, September 21-24, 2015",https://dblp.org/db/conf/acii/acii2015.html,dblp
ACII 2015,2015/9/21,2015/9/24,2015,Xi'an,People's Republic of China,Affective Computing and Intelligent Interaction,http://www.wikidata.org/entity/Q106242726,wikiData
ACII 2015,2015/9/21,2015/9/24,2015,Xi'an,People's Republic of China,Affective Computing and Intelligent Interaction,http://portal.confref.org/list/acii2015,confRef
ACII 2015,2015/9/21,2015/9/24,2015,Xi'an,People's Republic of China,Affective Computing and Intelligent Interaction,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=41320,wikiCfp
ACII 2017,2017/10/23,2017/10/26,2017,San Antonio,United States of America,Affective Computing and Intelligent Interaction,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=57886,wikiCfp
ACII 2017,2017/10/23,2017/10/26,2017,,,"Seventh International Conference on Affective Computing and Intelligent Interaction, ACII 2017, San Antonio, TX, USA, October 23-26, 2017",https://dblp.org/db/conf/acii/acii2017.html,dblp
ACII 2017,2017/10/23,2017/10/26,2017,San Antonio,United States of America,Affective Computing and Intelligent Interaction,http://portal.confref.org/list/acii2017,confRef
ACII 2019,2019/9/3,2019/9/6,2019,,United Kingdom,Affective Computing and Intelligent Interaction,http://www.wikidata.org/entity/Q106242725,wikiData
ACII 2019,2019/9/3,2019/9/6,2019,,,"8th International Conference on Affective Computing and Intelligent Interaction, ACII 2019, Cambridge, United Kingdom, September 3-6, 2019",https://dblp.org/db/conf/acii/acii2019.html,dblp
ACII 2019,2019/9/3,2019/9/6,2019,Cambridge,United Kingdom,Affective Computing and Intelligent Interaction,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=85665,wikiCfp
