acronym,startDate,endDate,year,city,country,seriesTitle,url,label
ACISP 2000,2000/7/10,2000/7/12,2000,,,"Information Security and Privacy, 5th Australasian Conference, ACISP 2000, Brisbane, Australia, July 10-12, 2000, Proceedings",https://dblp.org/db/conf/acisp/acisp2000.html,dblp
ACISP 2000,2000/7/10,2000/7/12,2000,Brisbane,Australia,Australasian Conference on Information Security and Privacy (ACISP),http://portal.confref.org/list/acisp2000,confRef
ACISP 2001,2001/7/11,2001/7/13,2001,,,"Information Security and Privacy, 6th Australasian Conference, ACISP 2001, Sydney, Australia, July 11-13, 2001, Proceedings",https://dblp.org/db/conf/acisp/acisp2001.html,dblp
ACISP 2001,2001/7/11,2001/7/13,2001,Syndey,Australia,Australasian Conference on Information Security and Privacy (ACISP),http://portal.confref.org/list/acisp2001,confRef
ACISP 2002,2002/7/3,2002/7/5,2002,,,"Information Security and Privacy, 7th Australian Conference, ACISP 2002, Melbourne, Australia, July 3-5, 2002, Proceedings",https://dblp.org/db/conf/acisp/acisp2002.html,dblp
ACISP 2002,2002/7/3,2002/7/5,2002,Melbourne,Australia,Australasian Conference on Information Security and Privacy (ACISP),http://portal.confref.org/list/acisp2002,confRef
ACISP 2002,2002/7/3,2002/7/5,2002,Melbourne,Australia,Australasian Conference on Information Security and Privacy,http://www.wikidata.org/entity/Q106242953,wikiData
ACISP 2003,2003/7/9,2003/7/11,2003,,,"Information Security and Privacy, 8th Australasian Conference, ACISP 2003, Wollongong, Australia, July 9-11, 2003, Proceedings",https://dblp.org/db/conf/acisp/acisp2003.html,dblp
ACISP 2003,2003/7/9,2003/7/11,2003,Wollongong,Australia,Australasian Conference on Information Security and Privacy,http://www.wikidata.org/entity/Q106242952,wikiData
ACISP 2003,2003/7/9,2003/7/11,2003,Wollongong,Australia,Australasian Conference on Information Security and Privacy (ACISP),http://portal.confref.org/list/acisp2003,confRef
ACISP 2004,2004/7/13,2004/7/15,2004,Sydney,Australia,Australasian Conference on Information Security and Privacy (ACISP),http://portal.confref.org/list/acisp2004,confRef
ACISP 2004,2004/7/13,2004/7/15,2004,Sydney,Australia,"Information Security and Privacy: 9th Australasian Conference, ACISP 2004, Sydney, Australia, July 13-15, 2004. Proceedings",https://dblp.org/db/conf/acisp/acisp2004.html,dblp
ACISP 2004,2004/7/13,2004/7/15,2004,Sydney,Australia,Australasian Conference on Information Security and Privacy,http://www.wikidata.org/entity/Q106067054,wikiData
ACISP 2005,2005/7/4,2005/7/6,2005,Brisbane,Australia,Australasian Conference on Information Security and Privacy (ACISP),http://portal.confref.org/list/acisp2005,confRef
ACISP 2005,2005/7/4,2005/7/6,2005,,,"Information Security and Privacy, 10th Australasian Conference, ACISP 2005, Brisbane, Australia, July 4-6, 2005, Proceedings",https://dblp.org/db/conf/acisp/acisp2005.html,dblp
ACISP 2005,2005/7/4,2005/7/6,2005,Brisbane,Australia,Australasian Conference on Information Security and Privacy,http://www.wikidata.org/entity/Q106242951,wikiData
ACISP 2006,2006/7/3,2006/7/5,2006,Melbourne,Australia,Australasian Conference on Information Security and Privacy (ACISP),http://portal.confref.org/list/acisp2006,confRef
ACISP 2006,2006/7/3,2006/7/5,2006,Melbourne,Australia,Australasian Conference on Information Security and Privacy,http://www.wikidata.org/entity/Q106242950,wikiData
ACISP 2006,2006/7/3,2006/7/5,2006,,,"Information Security and Privacy, 11th Australasian Conference, ACISP 2006, Melbourne, Australia, July 3-5, 2006, Proceedings",https://dblp.org/db/conf/acisp/acisp2006.html,dblp
ACISP 2007,2007/7/2,2007/7/4,2007,Townsville,Australia,Australasian Conference on Information Security and Privacy (ACISP),http://portal.confref.org/list/acisp2007,confRef
ACISP 2007,2007/7/2,2007/7/4,2007,,,"Information Security and Privacy, 12th Australasian Conference, ACISP 2007, Townsville, Australia, July 2-4, 2007, Proceedings",https://dblp.org/db/conf/acisp/acisp2007.html,dblp
ACISP 2008,2008/7/7,2008/7/9,2008,,,"Information Security and Privacy, 13th Australasian Conference, ACISP 2008, Wollongong, Australia, July 7-9, 2008, Proceedings",https://dblp.org/db/conf/acisp/acisp2008.html,dblp
ACISP 2008,2008/7/7,2008/7/9,2008,Wollongong,Australia,Australasian Conference on Information Security and Privacy (ACISP),http://portal.confref.org/list/acisp2008,confRef
ACISP 2009,2009/7/1,2009/7/3,2009,,,"Information Security and Privacy, 14th Australasian Conference, ACISP 2009, Brisbane, Australia, July 1-3, 2009, Proceedings",https://dblp.org/db/conf/acisp/acisp2009.html,dblp
ACISP 2009,2009/7/1,2009/7/3,2009,Brisbane,Australia,Australasian Conference on Information Security and Privacy (ACISP),http://portal.confref.org/list/acisp2009,confRef
