acronym,startDate,endDate,year,city,country,seriesTitle,url,label
AHS 2006,2006/6/15,2006/6/18,2006,Istanbul,Turkey,Adaptive Hardware and Systems,http://portal.confref.org/list/ahs2006,confRef
AHS 2006,2006/6/15,2006/6/18,2006,Istanbul,Turkey,"First NASA/ESA Conference on Adaptive Hardware and Systems (AHS 2006), 15-18 June 2006, Istanbul, Turkey",https://dblp.org/db/conf/ahs/ahs2006.html,dblp
AHS 2007,2007/8/5,2007/8/8,2007,,,"Second NASA/ESA Conference on Adaptive Hardware and Systems (AHS 2007), August 5-8, 2007, University of Edinburgh, Scotland, United Kingdom",https://dblp.org/db/conf/ahs/ahs2007.html,dblp
AHS 2007,2007/8/5,2007/8/8,2007,Edinburgh,United Kingdom,Adaptive Hardware and Systems,http://portal.confref.org/list/ahs2007,confRef
AHS 2008,2008/6/22,2008/6/25,2008,,,"NASA/ESA Conference on Adaptive Hardware and Systems, AHS 2008, Noordwijk, The Netherlands, June 22-25, 2008",https://dblp.org/db/conf/ahs/ahs2008.html,dblp
AHS 2008,2008/6/22,2008/6/25,2008,Noordwijk,The Netherlands,Adaptive Hardware and Systems,http://portal.confref.org/list/ahs2008,confRef
AHS 2008,2008/6/22,2008/6/25,2008,,Netherlands,NASA/ESA Conference on Adaptive Hardware and Systems,http://www.wikidata.org/entity/Q106338910,wikiData
AHS 2009,2009/7/29,2009/8/1,2009,San Francisco,United States of America,Adaptive Hardware and Systems,http://portal.confref.org/list/ahs2009,confRef
AHS 2009,,,2009,San Francisco,United States of America,"NASA/ESA Conference on Adaptive Hardware and Systems, AHS 2009, San Francisco, California, USA, July 29 - August 1, 2009",https://dblp.org/db/conf/ahs/ahs2009.html,dblp
AHS 2009,2009/7/29,2009/8/1,2009,San Francisco,United States of America,NASA/ESA Conference on Adaptive Hardware and Systems,http://www.wikidata.org/entity/Q106338909,wikiData
AHS 2010,2010/6/15,2010/6/18,2010,Anaheim,United States of America,Adaptive Hardware and Systems,http://portal.confref.org/list/ahs2010,confRef
AHS 2010,2010/6/15,2010/6/18,2010,Anaheim,United States of America,NASA/ESA Conference on Adaptive Hardware and Systems,http://www.wikidata.org/entity/Q106338908,wikiData
AHS 2010,2010/6/15,2010/6/18,2010,Anaheim,United States of America,Adaptive Hardware and Systems,http://www.wikicfp.com/cfp/servlet/event.showcfp?eventid=6772,wikiCfp
AHS 2010,2010/6/15,2010/6/18,2010,,,"2010 NASA/ESA Conference on Adaptive Hardware and Systems, AHS 2010, Anaheim, California, USA, June 15-18, 2010",https://dblp.org/db/conf/ahs/ahs2010.html,dblp
